Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Maldives,Office Supplies,Online,C,2020-10-02,820971667,2020-11-16,2615,651.21,524.96,1702914.15,1372770.4,330143.75
Sub-Saharan Africa,Zimbabwe,Snacks,Offline,M,2014-01-21,524197041,2014-01-21,408,152.58,97.44,62252.64,39755.52,22497.12
Sub-Saharan Africa,Comoros,Cosmetics,Offline,L,2014-05-14,497205436,2014-06-04,2992,437.2,263.33,1308102.4,787883.36,520219.04
Sub-Saharan Africa,Swaziland,Cereal,Online,H,2014-05-26,329108178,2014-05-26,9278,205.7,117.11,1908484.6,1086546.58,821938.02
Europe,Austria,Personal Care,Online,H,2024-06-01,579329097,2024-06-22,5209,81.73,56.67,425731.57,295194.03,130537.54
Central America and the Caribbean,Jamaica,Office Supplies,Offline,C,2024-02-07,527604520,2024-03-04,8757,651.21,524.96,5702645.97,4597074.72,1105571.25
Asia,Bangladesh,Office Supplies,Offline,C,2021-05-17,423983275,2021-05-17,4928,651.21,524.96,3209162.88,2587002.88,622160.0
Europe,Macedonia,Baby Food,Offline,C,2014-12-19,138826692,2015-01-29,758,255.28,159.42,193502.24,120840.36,72661.88
Europe,Albania,Snacks,Offline,M,2021-02-24,512808597,2021-03-27,314,152.58,97.44,47910.12,30596.16,17313.96
Sub-Saharan Africa,Namibia,Fruits,Online,C,2014-12-08,206915318,2014-12-27,9696,9.33,6.92,90463.68,67096.32,23367.36
Sub-Saharan Africa,Guinea,Snacks,Offline,M,2020-12-13,652445685,2021-01-25,2032,152.58,97.44,310042.56,197998.08,112044.48
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,M,2022-07-21,201011025,2022-07-21,2484,109.28,35.84,271451.52,89026.56,182424.96
Europe,Malta,Vegetables,Online,L,2020-08-23,874535167,2020-09-23,3245,154.06,90.93,499924.7,295067.85,204856.85
Australia and Oceania,Kiribati,Personal Care,Offline,C,2017-08-20,715254437,2017-09-25,8537,81.73,56.67,697729.01,483791.79,213937.22
Europe,Luxembourg,Household,Offline,L,2022-10-14,535717666,2022-10-18,9617,668.27,502.54,6426752.59,4832927.18,1593825.41
Australia and Oceania,Tonga,Personal Care,Offline,L,2014-10-08,768786180,2014-11-16,9770,81.73,56.67,798502.1,553665.9,244836.2
Middle East and North Africa,Bahrain,Vegetables,Offline,C,2021-11-23,117633807,2021-12-24,9312,154.06,90.93,1434606.72,846740.16,587866.56
Europe,Georgia,Meat,Offline,L,2020-07-04,505746877,2020-08-08,594,421.89,364.69,250602.66,216625.86,33976.8
Europe,France,Cosmetics,Online,H,2015-03-07,326924216,2015-04-20,2995,437.2,263.33,1309414.0,788673.35,520740.65
Sub-Saharan Africa,Niger,Clothes,Offline,H,2022-09-11,295277154,2022-09-24,7926,109.28,35.84,866153.28,284067.84,582085.44
Sub-Saharan Africa,Swaziland,Baby Food,Online,H,2023-11-25,295229518,2024-01-02,3830,255.28,159.42,977722.4,610578.6,367143.8
Europe,Serbia,Vegetables,Offline,L,2022-07-18,731517636,2022-08-11,1179,154.06,90.93,181636.74,107206.47,74430.27
Australia and Oceania,Papua New Guinea,Office Supplies,Online,M,2018-07-10,279190337,2018-07-29,7480,651.21,524.96,4871050.8,3926700.8,944350.0
Central America and the Caribbean,Grenada,Vegetables,Offline,M,2023-12-09,833608949,2024-01-09,2267,154.06,90.93,349254.02,206138.31,143115.71
Asia,Brunei,Household,Online,L,2014-12-18,760447299,2014-12-26,2109,668.27,502.54,1409381.43,1059856.86,349524.57
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Online,H,2022-09-29,745691716,2022-10-10,5605,154.06,90.93,863506.3,509662.65,353843.65
Sub-Saharan Africa,Cape Verde,Clothes,Online,H,2021-02-12,645641028,2021-03-22,8383,109.28,35.84,916094.24,300446.72,615647.52
Sub-Saharan Africa,Cameroon,Household,Offline,L,2017-07-01,836906564,2017-07-02,8105,668.27,502.54,5416328.35,4073086.7,1343241.65
Australia and Oceania,Kiribati,Office Supplies,Online,H,2015-06-21,866412150,2015-06-22,9464,651.21,524.96,6163051.44,4968221.44,1194830.0
Europe,Ukraine,Household,Online,H,2020-02-09,801394116,2020-02-12,9183,668.27,502.54,6136723.41,4614824.82,1521898.59
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,L,2021-12-16,779401290,2021-12-23,1017,9.33,6.92,9488.61,7037.64,2450.97
Europe,Switzerland,Baby Food,Online,C,2023-10-06,558294999,2023-11-06,752,255.28,159.42,191970.56,119883.84,72086.72
Asia,Laos,Personal Care,Online,L,2024-06-01,866249072,2024-06-26,1205,81.73,56.67,98484.65,68287.35,30197.3
Middle East and North Africa,Qatar,Meat,Offline,C,2024-04-28,251749837,2024-05-07,7226,421.89,364.69,3048577.14,2635249.94,413327.2
Asia,North Korea,Vegetables,Offline,L,2020-01-17,933596122,2020-02-23,694,154.06,90.93,106917.64,63105.42,43812.22
Europe,Russia,Meat,Online,M,2020-05-02,250899255,2020-05-29,5520,421.89,364.69,2328832.8,2013088.8,315744.0
Sub-Saharan Africa,Mali,Vegetables,Online,L,2019-06-01,113083064,2019-07-08,2646,154.06,90.93,407642.76,240600.78,167041.98
Europe,Armenia,Cereal,Offline,C,2023-09-13,249883878,2023-10-19,5047,205.7,117.11,1038167.9,591054.17,447113.73
Europe,Sweden,Cereal,Online,L,2014-05-18,461350524,2014-06-20,2727,205.7,117.11,560943.9,319358.97,241584.93
Australia and Oceania,Papua New Guinea,Vegetables,Offline,L,2016-11-29,167844331,2017-01-17,7722,154.06,90.93,1189651.32,702161.46,487489.86
Central America and the Caribbean,Belize,Beverages,Offline,L,2020-11-05,660039126,2020-12-20,9100,47.45,31.79,431795.0,289289.0,142506.0
Asia,Mongolia,Clothes,Online,L,2017-03-24,148921239,2017-05-05,7959,109.28,35.84,869759.52,285250.56,584508.96
Sub-Saharan Africa,Burundi,Clothes,Offline,H,2014-08-22,515789496,2014-08-25,2429,109.28,35.84,265441.12,87055.36,178385.76
Europe,Malta,Clothes,Offline,M,2023-03-08,562255227,2023-03-11,2671,109.28,35.84,291886.88,95728.64,196158.24
Sub-Saharan Africa,The Gambia,Meat,Online,C,2017-01-07,960242259,2017-01-12,5878,421.89,364.69,2479869.42,2143647.82,336221.6
Asia,Indonesia,Meat,Offline,H,2014-08-08,201986920,2014-09-12,1273,421.89,364.69,537065.97,464250.37,72815.6
Australia and Oceania,Tonga,Personal Care,Offline,L,2019-11-02,450038039,2019-11-08,5111,81.73,56.67,417722.03,289640.37,128081.66
Middle East and North Africa,Qatar,Baby Food,Offline,H,2016-10-03,787256944,2016-11-21,5679,255.28,159.42,1449735.12,905346.18,544388.94
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2017-08-15,366817462,2017-09-12,8293,154.06,90.93,1277619.58,754082.49,523537.09
North America,United States of America,Clothes,Offline,H,2014-10-26,662205922,2014-11-17,303,109.28,35.84,33111.84,10859.52,22252.32
Sub-Saharan Africa,Mozambique,Clothes,Online,M,2018-04-09,517221152,2018-04-09,6088,109.28,35.84,665296.64,218193.92,447102.72
Sub-Saharan Africa,Madagascar,Fruits,Online,C,2018-01-07,195974481,2018-02-19,2059,9.33,6.92,19210.47,14248.28,4962.19
Asia,Japan,Personal Care,Offline,M,2021-08-27,932889735,2021-09-15,1658,81.73,56.67,135508.34,93958.86,41549.48
Asia,China,Household,Offline,C,2016-11-16,882703244,2016-11-28,360,668.27,502.54,240577.2,180914.4,59662.8
Central America and the Caribbean,Guatemala,Meat,Offline,L,2019-08-18,970463836,2019-09-29,670,421.89,364.69,282666.3,244342.3,38324.0
North America,Canada,Snacks,Online,C,2015-04-11,841532838,2015-05-25,7122,152.58,97.44,1086674.76,693967.68,392707.08
Australia and Oceania,Federated States of Micronesia,Personal Care,Offline,L,2017-06-01,211584079,2017-07-09,1286,81.73,56.67,105104.78,72877.62,32227.16
Sub-Saharan Africa,South Africa,Office Supplies,Offline,M,2019-10-09,216603887,2019-10-21,6758,651.21,524.96,4400877.18,3547679.68,853197.5
Sub-Saharan Africa,Equatorial Guinea,Baby Food,Offline,H,2022-11-29,262891089,2023-01-08,4170,255.28,159.42,1064517.6,664781.4,399736.2
Sub-Saharan Africa,Rwanda,Snacks,Online,M,2018-03-19,277057015,2018-03-26,6183,152.58,97.44,943402.14,602471.52,340930.62
Sub-Saharan Africa,Togo,Meat,Online,M,2014-08-08,256025493,2014-09-19,2488,421.89,364.69,1049662.32,907348.72,142313.6
Europe,Spain,Fruits,Offline,L,2022-07-03,717032849,2022-08-03,4809,9.33,6.92,44867.97,33278.28,11589.69
Central America and the Caribbean,Honduras,Personal Care,Online,H,2016-06-03,447627913,2016-06-04,1902,81.73,56.67,155450.46,107786.34,47664.12
Asia,Uzbekistan,Personal Care,Offline,C,2015-02-20,555672013,2015-04-06,4552,81.73,56.67,372034.96,257961.84,114073.12
Europe,Croatia,Meat,Offline,M,2022-11-25,419338977,2023-01-02,577,421.89,364.69,243430.53,210426.13,33004.4
Europe,Bulgaria,Office Supplies,Online,L,2024-01-25,837115132,2024-02-19,9825,651.21,524.96,6398138.25,5157732.0,1240406.25
Sub-Saharan Africa,Angola,Vegetables,Online,M,2020-07-18,877799308,2020-08-22,9177,154.06,90.93,1413808.62,834464.61,579344.01
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,C,2015-09-29,130502831,2015-10-09,7543,437.2,263.33,3297799.6,1986298.19,1311501.41
Central America and the Caribbean,Dominican Republic,Snacks,Online,L,2019-12-04,954649531,2020-01-08,866,152.58,97.44,132134.28,84383.04,47751.24
Sub-Saharan Africa,Comoros,Cereal,Offline,M,2023-06-18,829975736,2023-06-20,7119,205.7,117.11,1464378.3,833706.09,630672.21
Europe,Albania,Personal Care,Online,M,2023-08-02,906530272,2023-09-18,1308,81.73,56.67,106902.84,74124.36,32778.48
Europe,Austria,Beverages,Offline,H,2019-01-10,154674470,2019-01-24,468,47.45,31.79,22206.6,14877.72,7328.88
Asia,Uzbekistan,Clothes,Offline,L,2015-05-13,315082156,2015-06-22,8667,109.28,35.84,947129.76,310625.28,636504.48
Asia,Singapore,Office Supplies,Offline,H,2019-09-08,948739659,2019-09-30,2003,651.21,524.96,1304373.63,1051494.88,252878.75
Sub-Saharan Africa,Senegal,Meat,Online,L,2024-07-16,786945807,2024-09-01,3607,421.89,364.69,1521757.23,1315436.83,206320.4
Australia and Oceania,New Zealand,Baby Food,Online,L,2023-12-24,881311929,2024-01-06,8639,255.28,159.42,2205363.92,1377229.38,828134.54
Europe,Germany,Office Supplies,Offline,H,2018-11-28,553761851,2018-12-09,9292,651.21,524.96,6051043.32,4877928.32,1173115.0
Sub-Saharan Africa,Uganda,Snacks,Offline,L,2022-06-05,546531903,2022-07-16,9790,152.58,97.44,1493758.2,953937.6,539820.6
Sub-Saharan Africa,Mauritius ,Fruits,Offline,M,2022-05-28,772170913,2022-07-09,1387,9.33,6.92,12940.71,9598.04,3342.67
Middle East and North Africa,Saudi Arabia,Household,Offline,L,2018-11-29,763540208,2018-12-15,7370,668.27,502.54,4925149.9,3703719.8,1221430.1
Sub-Saharan Africa,Benin,Cosmetics,Online,H,2018-11-12,123813617,2018-11-18,8055,437.2,263.33,3521646.0,2121123.15,1400522.85
Europe,Switzerland,Vegetables,Online,H,2019-12-28,776477468,2020-01-13,5793,154.06,90.93,892469.58,526757.49,365712.09
Central America and the Caribbean,Belize,Cosmetics,Online,L,2016-03-06,215330588,2016-04-14,9961,437.2,263.33,4354949.2,2623030.13,1731919.07
Europe,Vatican City,Cosmetics,Offline,H,2024-03-15,954484307,2024-04-14,1972,437.2,263.33,862158.4,519286.76,342871.64
Europe,Poland,Cereal,Offline,L,2014-03-24,178362452,2014-04-27,268,205.7,117.11,55127.6,31385.48,23742.12
Europe,Denmark,Fruits,Online,M,2022-01-26,991701352,2022-02-02,5323,9.33,6.92,49663.59,36835.16,12828.43
Europe,Switzerland,Vegetables,Offline,L,2015-07-22,269549834,2015-09-08,4641,154.06,90.93,714992.46,422006.13,292986.33
Middle East and North Africa,Saudi Arabia,Personal Care,Online,C,2017-06-21,807269227,2017-07-03,7758,81.73,56.67,634061.34,439645.86,194415.48
Middle East and North Africa,Afghanistan,Office Supplies,Online,L,2014-09-09,970533359,2014-10-29,1243,651.21,524.96,809454.03,652525.28,156928.75
Sub-Saharan Africa,Guinea-Bissau,Snacks,Offline,C,2016-12-18,545328557,2017-01-08,3693,152.58,97.44,563477.94,359845.92,203632.02
Asia,Kazakhstan,Cereal,Offline,H,2019-07-11,287953650,2019-08-04,739,205.7,117.11,152012.3,86544.29,65468.01
Sub-Saharan Africa,Ghana,Fruits,Offline,M,2019-02-04,575019967,2019-02-25,41,9.33,6.92,382.53,283.72,98.81
Asia,Uzbekistan,Vegetables,Online,M,2019-03-31,953451335,2019-04-14,6293,154.06,90.93,969499.58,572222.49,397277.09
Middle East and North Africa,Tunisia ,Cosmetics,Offline,H,2014-05-16,590484082,2014-05-31,6217,437.2,263.33,2718072.4,1637122.61,1080949.79
Central America and the Caribbean,Dominica,Household,Offline,M,2016-05-25,523667037,2016-06-21,3568,668.27,502.54,2384387.36,1793062.72,591324.64
Europe,Vatican City,Office Supplies,Offline,H,2017-05-18,510861527,2017-06-02,4133,651.21,524.96,2691450.93,2169659.68,521791.25
Sub-Saharan Africa,Namibia,Fruits,Online,L,2016-03-15,380241382,2016-04-17,729,9.33,6.92,6801.57,5044.68,1756.89
Middle East and North Africa,Algeria,Personal Care,Online,L,2023-12-23,480292928,2024-02-09,8205,81.73,56.67,670594.65,464977.35,205617.3
North America,Mexico,Cosmetics,Online,H,2015-11-12,329814994,2015-11-26,8441,437.2,263.33,3690405.2,2222768.53,1467636.67
Australia and Oceania,East Timor,Cosmetics,Offline,L,2022-01-05,867918908,2022-01-05,5347,437.2,263.33,2337708.4,1408025.51,929682.89
Central America and the Caribbean,Saint Kitts and Nevis ,Cosmetics,Offline,C,2015-04-03,404028499,2015-04-18,9866,437.2,263.33,4313415.2,2598013.78,1715401.42
Sub-Saharan Africa,Togo,Vegetables,Offline,H,2023-05-24,467880094,2023-06-19,4972,154.06,90.93,765986.32,452103.96,313882.36
Europe,Bulgaria,Snacks,Offline,L,2016-12-02,859522521,2017-01-14,669,152.58,97.44,102076.02,65187.36,36888.66
Europe,Hungary,Snacks,Offline,L,2021-04-21,999317109,2021-05-28,8994,152.58,97.44,1372304.52,876375.36,495929.16
Australia and Oceania,Papua New Guinea,Office Supplies,Online,L,2015-05-24,377937686,2015-06-11,9015,651.21,524.96,5870658.15,4732514.4,1138143.75
Sub-Saharan Africa,Swaziland,Meat,Offline,L,2022-04-23,806370580,2022-05-02,1829,421.89,364.69,771636.81,667018.01,104618.8
Europe,Belgium,Baby Food,Online,C,2018-07-25,565914618,2018-08-16,5566,255.28,159.42,1420888.48,887331.72,533556.76
Middle East and North Africa,United Arab Emirates,Personal Care,Online,M,2014-04-01,258181130,2014-05-02,389,81.73,56.67,31792.97,22044.63,9748.34
Middle East and North Africa,Pakistan,Fruits,Offline,H,2015-08-14,555093944,2015-10-03,3488,9.33,6.92,32543.04,24136.96,8406.08
North America,Greenland,Vegetables,Online,M,2019-09-22,848889386,2019-09-25,4088,154.06,90.93,629797.28,371721.84,258075.44
Australia and Oceania,Australia,Clothes,Online,H,2019-10-17,602116286,2019-10-25,8444,109.28,35.84,922760.32,302632.96,620127.36
Asia,Bhutan,Household,Offline,L,2021-03-26,697635972,2021-05-06,4842,668.27,502.54,3235763.34,2433298.68,802464.66
Sub-Saharan Africa,Mauritania,Clothes,Offline,M,2014-12-04,288622272,2014-12-21,8599,109.28,35.84,939698.72,308188.16,631510.56
Middle East and North Africa,Somalia,Cosmetics,Offline,M,2014-08-21,848561513,2014-09-08,7063,437.2,263.33,3087943.6,1859899.79,1228043.81
Central America and the Caribbean,Cuba,Vegetables,Online,C,2019-08-09,321252524,2019-08-18,4616,154.06,90.93,711140.96,419732.88,291408.08
Asia,Cambodia,Vegetables,Online,L,2019-11-12,770806634,2019-12-06,7667,154.06,90.93,1181178.02,697160.31,484017.71
Asia,Vietnam,Fruits,Offline,M,2023-01-03,731647670,2023-02-02,9659,9.33,6.92,90118.47,66840.28,23278.19
Europe,Lithuania,Cosmetics,Online,M,2016-09-26,158511960,2016-10-05,6066,437.2,263.33,2652055.2,1597359.78,1054695.42
Sub-Saharan Africa,Burkina Faso,Baby Food,Offline,M,2016-12-28,876448333,2017-01-31,9393,255.28,159.42,2397845.04,1497432.06,900412.98
Sub-Saharan Africa,Central African Republic,Household,Offline,M,2019-11-01,730818116,2019-12-10,4176,668.27,502.54,2790695.52,2098607.04,692088.48
Central America and the Caribbean,Haiti,Beverages,Offline,M,2017-06-22,337295138,2017-08-05,1982,47.45,31.79,94045.9,63007.78,31038.12
Europe,Netherlands,Meat,Offline,L,2014-04-30,831865727,2014-06-06,6409,421.89,364.69,2703893.01,2337298.21,366594.8
Central America and the Caribbean,Jamaica,Baby Food,Offline,C,2021-08-27,720828711,2021-10-06,8089,255.28,159.42,2064959.92,1289548.38,775411.54
Europe,Norway,Baby Food,Offline,L,2020-02-21,830795419,2020-04-03,9681,255.28,159.42,2471365.68,1543345.02,928020.66
Central America and the Caribbean,Panama,Baby Food,Offline,H,2018-09-17,258689677,2018-10-05,879,255.28,159.42,224391.12,140130.18,84260.94
Sub-Saharan Africa,Ghana,Office Supplies,Online,H,2017-02-06,421747815,2017-02-12,3406,651.21,524.96,2218021.26,1788013.76,430007.5
Sub-Saharan Africa,Mozambique,Meat,Online,M,2021-11-21,107518661,2021-12-26,6016,421.89,364.69,2538090.24,2193975.04,344115.2
Sub-Saharan Africa,Burundi,Meat,Offline,C,2019-10-13,423863542,2019-11-25,9496,421.89,364.69,4006267.44,3463096.24,543171.2
Central America and the Caribbean,Haiti,Clothes,Online,C,2015-01-09,748956286,2015-01-18,1663,109.28,35.84,181732.64,59601.92,122130.72
Sub-Saharan Africa,Ghana,Cereal,Offline,C,2024-01-20,981283223,2024-02-16,2367,205.7,117.11,486891.9,277199.37,209692.53
Sub-Saharan Africa,Burundi,Clothes,Offline,L,2016-09-12,189643180,2016-10-08,8486,109.28,35.84,927350.08,304138.24,623211.84
Sub-Saharan Africa,Malawi,Meat,Offline,C,2017-10-03,663147485,2017-11-21,8932,421.89,364.69,3768321.48,3257411.08,510910.4
Australia and Oceania,Nauru,Vegetables,Offline,L,2016-02-06,261219966,2016-03-04,9648,154.06,90.93,1486370.88,877292.64,609078.24
Sub-Saharan Africa,Senegal,Snacks,Online,H,2023-06-28,963596951,2023-07-04,8606,152.58,97.44,1313103.48,838568.64,474534.84
Central America and the Caribbean,Guatemala,Beverages,Online,C,2015-10-09,320327270,2015-10-30,812,47.45,31.79,38529.4,25813.48,12715.92
Middle East and North Africa,Oman,Cereal,Online,L,2023-10-02,901772248,2023-10-18,3302,205.7,117.11,679221.4,386697.22,292524.18
Asia,Laos,Beverages,Online,H,2020-12-08,848605716,2021-01-05,144,47.45,31.79,6832.8,4577.76,2255.04
Europe,Netherlands,Snacks,Offline,L,2014-05-29,621814000,2014-06-01,7436,152.58,97.44,1134584.88,724563.84,410021.04
Asia,Bhutan,Fruits,Offline,H,2018-02-07,752695930,2018-03-08,8307,9.33,6.92,77504.31,57484.44,20019.87
Europe,Denmark,Meat,Offline,M,2015-05-20,492862832,2015-05-25,7919,421.89,364.69,3340946.91,2887980.11,452966.8
Europe,Germany,Snacks,Offline,C,2017-11-02,964238536,2017-11-21,8465,152.58,97.44,1291589.7,824829.6,466760.1
Australia and Oceania,Fiji,Fruits,Offline,L,2017-03-11,209059369,2017-04-03,4168,9.33,6.92,38887.44,28842.56,10044.88
Europe,Austria,Baby Food,Offline,M,2022-09-11,839874160,2022-09-17,6283,255.28,159.42,1603924.24,1001635.86,602288.38
North America,United States of America,Baby Food,Offline,C,2023-09-21,589544236,2023-10-13,8095,255.28,159.42,2066491.6,1290504.9,775986.7
Middle East and North Africa,Qatar,Cosmetics,Online,L,2016-07-01,861243426,2016-07-11,9923,437.2,263.33,4338335.6,2613023.59,1725312.01
Sub-Saharan Africa,Djibouti,Vegetables,Online,C,2020-02-22,878458058,2020-03-19,4116,154.06,90.93,634110.96,374267.88,259843.08
Sub-Saharan Africa,Sao Tome and Principe,Vegetables,Offline,C,2017-11-05,834986960,2017-11-17,52,154.06,90.93,8011.12,4728.36,3282.76
Europe,Andorra,Clothes,Offline,M,2015-09-09,544941461,2015-10-04,9143,109.28,35.84,999147.04,327685.12,671461.92
Asia,Myanmar,Fruits,Online,H,2015-11-30,792745387,2015-12-07,9831,9.33,6.92,91723.23,68030.52,23692.71
Middle East and North Africa,Syria,Vegetables,Offline,L,2022-04-07,183135068,2022-04-25,2591,154.06,90.93,399169.46,235599.63,163569.83
Asia,Sri Lanka,Meat,Online,H,2023-12-12,991159331,2023-12-15,4927,421.89,364.69,2078652.03,1796827.63,281824.4
Australia and Oceania,East Timor,Baby Food,Offline,C,2022-05-13,612179505,2022-06-03,6374,255.28,159.42,1627154.72,1016143.08,611011.64
Europe,Finland,Vegetables,Online,H,2015-01-30,111869418,2015-02-18,3502,154.06,90.93,539518.12,318436.86,221081.26
Sub-Saharan Africa,Sudan,Office Supplies,Offline,L,2022-07-20,176215398,2022-07-29,4907,651.21,524.96,3195487.47,2575978.72,619508.75
Europe,Portugal,Clothes,Offline,L,2018-08-08,661516273,2018-09-15,6220,109.28,35.84,679721.6,222924.8,456796.8
Sub-Saharan Africa,Togo,Baby Food,Offline,M,2021-05-10,144383370,2021-05-30,5103,255.28,159.42,1302693.84,813520.26,489173.58
Europe,Latvia,Meat,Offline,C,2023-09-10,871740520,2023-09-14,6247,421.89,364.69,2635546.83,2278218.43,357328.4
Asia,Kazakhstan,Beverages,Offline,M,2019-12-30,210824048,2020-01-03,6376,47.45,31.79,302541.2,202693.04,99848.16
Europe,Cyprus,Cosmetics,Offline,M,2022-03-15,999182784,2022-04-08,9245,437.2,263.33,4041914.0,2434485.85,1607428.15
Central America and the Caribbean,Guatemala,Baby Food,Online,C,2022-05-10,294678056,2022-06-07,640,255.28,159.42,163379.2,102028.8,61350.4
Sub-Saharan Africa,Angola,Cereal,Offline,H,2019-05-10,625483691,2019-05-28,3379,205.7,117.11,695060.3,395714.69,299345.61
Asia,Vietnam,Beverages,Online,L,2024-04-18,540086019,2024-05-02,2310,47.45,31.79,109609.5,73434.9,36174.6
Asia,Myanmar,Cosmetics,Online,H,2023-01-17,457283866,2023-02-05,9313,437.2,263.33,4071643.6,2452392.29,1619251.31
Europe,Netherlands,Cereal,Online,M,2024-05-11,416188561,2024-05-13,8299,205.7,117.11,1707104.3,971895.89,735208.41
North America,Greenland,Fruits,Offline,M,2022-06-16,526223933,2022-07-07,211,9.33,6.92,1968.63,1460.12,508.51
Central America and the Caribbean,Costa Rica,Household,Offline,L,2023-10-03,517126309,2023-11-17,8021,668.27,502.54,5360193.67,4030873.34,1329320.33
Middle East and North Africa,Iran,Snacks,Offline,H,2020-02-18,188944518,2020-03-20,1737,152.58,97.44,265031.46,169253.28,95778.18
Sub-Saharan Africa,Namibia,Personal Care,Offline,C,2015-09-03,762039887,2015-09-06,3392,81.73,56.67,277228.16,192224.64,85003.52
Europe,Monaco,Cosmetics,Online,C,2021-04-19,827086246,2021-05-08,2055,437.2,263.33,898446.0,541143.15,357302.85
Sub-Saharan Africa,The Gambia,Office Supplies,Offline,C,2017-05-14,395069921,2017-05-18,8824,651.21,524.96,5746277.04,4632247.04,1114030.0
Australia and Oceania,Tonga,Vegetables,Offline,M,2023-02-26,447289741,2023-03-16,1829,154.06,90.93,281775.74,166310.97,115464.77
Middle East and North Africa,Bahrain,Household,Online,L,2016-09-05,685357034,2016-10-11,1231,668.27,502.54,822640.37,618626.74,204013.63
Sub-Saharan Africa,Gabon,Cosmetics,Offline,L,2014-11-18,881195628,2014-12-09,4223,437.2,263.33,1846295.6,1112042.59,734253.01
Asia,Nepal,Office Supplies,Online,C,2014-10-28,427041852,2014-10-28,29,651.21,524.96,18885.09,15223.84,3661.25
Australia and Oceania,Australia,Cereal,Offline,C,2020-05-31,585444533,2020-07-08,4902,205.7,117.11,1008341.4,574073.22,434268.18
Sub-Saharan Africa,Senegal,Personal Care,Offline,L,2015-09-07,439265000,2015-09-17,7130,81.73,56.67,582734.9,404057.1,178677.8
Sub-Saharan Africa,Zambia,Office Supplies,Offline,L,2023-08-04,941677081,2023-09-08,2029,651.21,524.96,1321305.09,1065143.84,256161.25
Australia and Oceania,Tuvalu,Clothes,Offline,L,2015-02-15,866167104,2015-03-29,6949,109.28,35.84,759386.72,249052.16,510334.56
Europe,Kosovo,Cosmetics,Offline,L,2021-08-09,856533896,2021-09-25,6269,437.2,263.33,2740806.8,1650815.77,1089991.03
Europe,Bosnia and Herzegovina,Meat,Online,L,2022-05-18,276888787,2022-06-20,6400,421.89,364.69,2700096.0,2334016.0,366080.0
Europe,Belgium,Cereal,Online,C,2014-05-03,361655604,2014-05-21,785,205.7,117.11,161474.5,91931.35,69543.15
Sub-Saharan Africa,Sao Tome and Principe,Snacks,Online,H,2017-04-07,165570676,2017-05-12,4897,152.58,97.44,747184.26,477163.68,270020.58
Sub-Saharan Africa,Mali,Clothes,Offline,L,2015-01-10,613682830,2015-01-14,1242,109.28,35.84,135725.76,44513.28,91212.48
Australia and Oceania,East Timor,Household,Offline,C,2014-05-15,451353394,2014-05-26,4354,668.27,502.54,2909647.58,2188059.16,721588.42
Europe,Estonia,Meat,Online,M,2018-03-15,294256198,2018-04-12,5803,421.89,364.69,2448227.67,2116296.07,331931.6
Asia,Mongolia,Clothes,Offline,H,2020-03-30,378377568,2020-05-08,9186,109.28,35.84,1003846.08,329226.24,674619.84
Central America and the Caribbean,Belize,Fruits,Online,H,2021-01-24,110016334,2021-02-11,5133,9.33,6.92,47890.89,35520.36,12370.53
Asia,Tajikistan,Vegetables,Offline,M,2022-09-27,315783822,2022-10-01,6305,154.06,90.93,971348.3,573313.65,398034.65
Europe,Moldova ,Clothes,Online,L,2023-06-29,992603862,2023-07-21,2395,109.28,35.84,261725.6,85836.8,175888.8
Asia,Myanmar,Clothes,Online,H,2023-01-22,857712781,2023-02-01,5127,109.28,35.84,560278.56,183751.68,376526.88
Asia,Myanmar,Household,Offline,C,2017-05-02,498659408,2017-06-17,3255,668.27,502.54,2175218.85,1635767.7,539451.15
Europe,Belarus,Clothes,Online,H,2014-05-27,123305070,2014-06-15,7565,109.28,35.84,826703.2,271129.6,555573.6
Australia and Oceania,Samoa ,Cosmetics,Offline,C,2018-07-04,909823596,2018-07-13,5875,437.2,263.33,2568550.0,1547063.75,1021486.25
Europe,Armenia,Baby Food,Online,L,2014-01-05,956701314,2014-01-13,8034,255.28,159.42,2050919.52,1280780.28,770139.24
Sub-Saharan Africa,Ghana,Vegetables,Online,H,2024-03-19,232737052,2024-05-03,920,154.06,90.93,141735.2,83655.6,58079.6
Sub-Saharan Africa,Senegal,Baby Food,Online,H,2020-06-08,127042138,2020-06-22,3447,255.28,159.42,879950.16,549520.74,330429.42
Europe,Ireland,Beverages,Online,C,2023-08-20,299040400,2023-10-07,1555,47.45,31.79,73784.75,49433.45,24351.3
Asia,Laos,Snacks,Online,H,2024-03-09,928468167,2024-04-18,3218,152.58,97.44,491002.44,313561.92,177440.52
Asia,Bhutan,Meat,Online,C,2019-04-26,465374267,2019-05-19,3442,421.89,364.69,1452145.38,1255262.98,196882.4
Middle East and North Africa,Libya,Office Supplies,Online,L,2018-06-15,580120027,2018-08-01,9262,651.21,524.96,6031507.02,4862179.52,1169327.5
